country	lon	lat
United States of America	-95.712891	37.09024
Aruba	-69.968338	12.52111
Afghanistan	67.709953	33.93911
Angola	17.873887	-11.202692
Anguilla	-63.068615	18.220554
Albania	20.168331	41.153332
Aland	20.2712585	60.3385485
Andorra	1.521801	42.506285
United Arab Emirates	53.847818	23.424076
Argentina	-63.616672	-38.416097
Armenia	45.038189	40.069099
American Samoa	-170.6962001	-14.3059409
Antarctica	-135	-82.8627519
French Southern and Antarctic Lands	69.348557	-49.280366
Antigua and Barbuda	-61.796428	17.060816
Australia	133.775136	-25.274398
Austria	14.550072	47.516231
Azerbaijan	47.576927	40.143105
Burundi	29.918886	-3.373056
Belgium	4.469936	50.503887
Benin	2.315834	9.30769
Burkina Faso	-1.561593	12.238333
Bangladesh	90.356331	23.684994
Bulgaria	25.48583	42.733883
Bahrain	50.5577	26.0667
The Bahamas	-77.39628	25.03428
Bosnia and Herzegovina	17.679076	43.915886
Saint Barthelemy	-62.833333	17.9
Belarus	27.953389	53.709807
Belize	-88.49765	17.189877
Bermuda	-64.7505	32.3078
Bolivia	-63.588653	-16.290154
Brazil	-51.92528	-14.235004
Brunei	114.727669	4.535277
Bhutan	90.433601	27.514162
Botswana	24.684866	-22.328474
Central African Republic	20.939444	6.611111
Canada	-106.346771	56.130366
Switzerland	8.227512	46.818188
Chile	-71.542969	-35.675147
China	104.195397	35.86166
Ivory Coast	-5.54708	7.539989
Cameroon	12.354722	7.369722
Cook Islands	-159.777671	-21.236736
Colombia	-74.297333	4.570868
Comoros	43.3333	-11.6455
Cape Verde	-23.6354246	15.119368
Costa Rica	-83.753428	9.748917
Cuba	-77.781167	21.521757
Curaçao	-68.99002	12.16957
Cayman Islands	-81.2546	19.3133
Northern Cyprus	33.429859	35.126413
Cyprus	33.429859	35.126413
Czech Republic	15.472962	49.817492
Germany	10.451526	51.165691
Djibouti	42.590275	11.825138
Dominica	-61.370976	15.414999
Denmark	9.501785	56.26392
Dominican Republic	-70.162651	18.735693
Algeria	1.659626	28.033886
Ecuador	-78.183406	-1.831239
Egypt	30.802498	26.820553
Eritrea	39.782334	15.179384
Estonia	25.013607	58.595272
Ethiopia	40.489673	9.145
Finland	25.748151	61.92411
Fiji	178.065032	-17.713371
Falkland Islands	-59.523613	-51.796253
France	2.213749	46.227638
Faroe Islands	-6.911806	61.892635
Federated States of Micronesia	158.2150716	6.8874574
Gabon	11.609444	-0.803689
United Kingdom	-3.435973	55.378051
Guernsey	-2.585278	49.465691
Ghana	-1.023194	7.946527
Guinea	-9.696645	9.945587
Gambia	-15.310139	13.443182
Guinea Bissau	-15.180413	11.803749
Equatorial Guinea	10.267895	1.650801
Greece	21.824312	39.074208
Grenada	-61.679	12.1165
Greenland	-42.604303	71.706936
Guatemala	-90.230759	15.783471
Guam	144.793731	13.444304
Guyana	-58.93018	4.860416
Hong Kong S.A.R.	114.109497	22.396428
