us_state	us_state_abbr	us_district	us_district_ordinal	lon	lat	minx	miny	maxx	maxy
Georgia	GA	4	4th	-84.1367202932	33.7490627671	-84.348425	33.547925	-83.913207	33.966401
Georgia	GA	5	5th	-84.4300897377	33.7454478796	-84.632633	33.586111	-84.263022	33.938201
Hawaii	HI	1	1st	-157.896742015	21.3725033499	-158.058685	21.2577	-157.6518	21.5047
Illinois	IL	1	1st	-87.7115789604	41.6762257868	-87.851153	41.528133	-87.576047	41.845652
Illinois	IL	2	2nd	-87.6283283314	41.5774838228	-87.790548	41.427322	-87.524044	41.799634
Illinois	IL	3	3rd	-87.8020290966	41.7650273494	-87.920062	41.653232	-87.632851	41.872331
Illinois	IL	5	5th	-87.7869863895	41.9487792854	-87.920464	41.891431	-87.6274905606	42.01523
Illinois	IL	6	6th	-88.0512061819	41.9411561682	-88.247777	41.813229	-87.872463	42.067426
Illinois	IL	7	7th	-87.7375377475	41.8735034362	-87.919363	41.790333	-87.587121032	41.921832
Illinois	IL	9	9th	-87.7840649904	42.0237465186	-87.921468	41.932832	-87.6308813633	42.079628
Indiana	IN	1	1st	-87.2583044481	41.0888967092	-87.526768	40.475629	-86.929257	41.709935
Illinois	IL	10	10th	-87.9016850475	42.1967310814	-88.121777	42.05049	-87.6798532754	42.414025
Illinois	IL	13	13th	-88.0530725593	41.6861084632	-88.263071	41.551141	-87.792749	41.85073
Illinois	IL	19	19th	-88.8909345908	38.6314814373	-90.49523	37.065231	-87.688315	39.826085
Indiana	IN	3	3rd	-85.4146004363	41.3778201273	-86.077334	40.916547	-84.803234	41.760216
Indiana	IN	7	7th	-86.1434816387	39.7895662549	-86.328293	39.649745	-85.937681	39.926639
Iowa	IA	4	4th	-93.5375877075	42.6690832469	-94.915925	41.156343	-91.05791	43.500993
Iowa	IA	5	5th	-95.2802995337	41.9423461852	-96.639704	40.570707	-93.556186	43.501196
Kansas	KS	1	1st	-99.3698382083	38.626192172	-102.051744	36.993083	-95.788024	40.003162
Kansas	KS	2	2nd	-95.4745991541	38.5537678051	-96.961707	36.998135	-94.6095077571	40.000463
Kansas	KS	3	3rd	-94.8790303507	38.9352232731	-95.316651	38.738146	-94.589933	39.202099
Kansas	KS	4	4th	-97.0413201532	37.4802944721	-98.464912	36.997824	-95.518007	38.174845
Maryland	MD	8	8th	-77.2485033325	39.0959435567	-77.527282	38.9183722735	-76.937996	39.27748
Massachusetts	MA	1	1st	-72.675716652	42.4308638031	-73.508142	41.997595	-71.532511	42.74594
Massachusetts	MA	2	2nd	-72.0938935445	42.1464275701	-72.741264	42.008065	-71.441121	42.4271
Massachusetts	MA	3	3rd	-71.568121836	42.1656760772	-72.035224	41.6035804687	-71.114489	42.51909
Massachusetts	MA	5	5th	-71.4064967796	42.5635402476	-71.728415	42.309895	-70.9983	42.833089
Massachusetts	MA	6	6th	-70.9450069229	42.642664164	-71.320181	42.416197	-70.591469	42.886589
Massachusetts	MA	7	7th	-71.237457784	42.391430983	-71.496833	42.247304	-70.960647466	42.529695
Massachusetts	MA	8	8th	-71.079273848	42.348598293	-71.174798	42.253598	-70.953022	42.418097
Massachusetts	MA	10	10th	-70.5114016066	41.787942615	-71.093094	41.237964	-69.928261	42.30886
Michigan	MI	1	1st	-86.2940164153	45.8454992935	-90.418136	43.566124	-83.265896	48.190975
Michigan	MI	2	2nd	-85.9664463563	43.741806944	-86.540916	42.586685	-85.334059	44.778732
Michigan	MI	3	3rd	-85.319825317	42.8629061606	-85.787137	42.419538	-84.836749	43.294757
Michigan	MI	4	4th	-84.923441874	43.9035786789	-86.156689	42.880718	-83.814716	45.210742
Minnesota	MN	4	4th	-93.0843554719	44.9963330921	-93.227925	44.826066	-92.933712	45.124465
New York	NY	6	6th	-73.7802213002	40.6624132889	-73.844015	40.583822	-73.699412	40.742116
Michigan	MI	5	5th	-83.593178648	43.3035914935	-84.050891	42.780912	-83.103812	43.7291556282
Michigan	MI	6	6th	-85.8841061082	42.1461213085	-86.824828	41.759049	-85.177984	42.768229
Michigan	MI	9	9th	-83.2588104149	42.6169688567	-83.44434	42.438636	-83.086454	42.800647
Michigan	MI	11	11th	-83.4978375226	42.4589758402	-83.683082	42.174053	-83.26433	42.703731
Michigan	MI	12	12th	-83.040182343	42.5122410452	-83.319531	42.441835	-82.856019	42.630306
Texas	TX	14	14th	-96.0322413285	29.0435693064	-97.305916	27.83745257	-94.353378	29.88994
