country	lon	lat	minx	miny	maxx	maxy
Aruba	-69.9826771125	12.5208803838	-70.0661132813	12.4229980469	-69.895703125	12.6141113281
Afghanistan	66.0047336558	33.8352307278	60.4857421875	29.3919433594	74.8913085938	38.4563964844
Angola	17.5373676815	-12.2933605438	11.7430664063	-18.0197265625	24.0466796875	-4.42890625
Anguilla	-63.0649892654	18.2239595023	-63.1600097656	18.1713867188	-62.9795898437	18.2697265625
Albania	20.054447328	41.1354136798	19.322265625	39.653515625	21.0310546875	42.6479492188
Aland	19.953287676	60.2148868756	19.5190429688	60.0116699219	20.611328125	60.4058105469
Andorra	1.56054377918	42.5422910219	1.41484375	42.4344726563	1.740234375	42.6427246094
United Arab Emirates	54.3001671016	23.9052818785	51.568359375	22.621484375	56.3879882812	26.0681640625
Argentina	-65.179806925	-35.3813487953	-73.5762695312	-55.0321289062	-53.6685546875	-21.8025390625
Armenia	44.9299327564	40.2895256919	43.439453125	38.8690429687	46.584765625	41.2909667969
American Samoa	-170.718025746	-14.3044599708	-170.820507812	-14.359765625	-170.568115234	-14.257421875
Antarctica	19.9210895122	-80.5085791311	-180.0	-89.9989257813	180.0	-60.5208984375
Ashmore and Cartier Islands	123.583837891	-12.4299316406	123.572460938	-12.4359375	123.595214844	-12.4239257812
French Southern and Antarctic Lands	69.2266675845	-49.2489548494	51.6592773438	-49.7098632812	70.55546875	-46.3268554687
Antigua and Barbuda	-61.794693427	17.2774995986	-61.887109375	16.9971679688	-61.6860351563	17.7140625
Australia	134.491000082	-25.7328870417	112.908203125	-54.74921875	158.958886719	-10.0517578125
Austria	14.1283781506	47.5855215567	9.5275390625	46.3997070313	17.1473632813	49.0011230469
Azerbaijan	47.5459987892	40.2882723471	44.7682617188	38.3987304688	50.3659179688	41.8909667969
Burundi	29.9169575745	-3.30796767412	29.0141601562	-4.455859375	30.8114257813	-2.31298828125
Belgium	4.64065113918	50.6398157556	2.52490234375	49.5108886719	6.364453125	51.4911132812
Benin	2.32785254449	9.64175970225	0.76337890625	6.216796875	3.83447265625	12.3838378906
Burkina Faso	-1.75456600914	12.2695384574	-5.52353515625	9.42470703125	2.38916015625	15.0778808594
Bangladesh	90.2381274323	23.86731158	88.0234375	20.7904296875	92.631640625	26.5715332031
Bulgaria	25.2155290863	42.7689031797	22.3440429688	41.2435546875	28.5853515625	44.2377929688
Bahrain	50.5419693232	26.0420513477	50.4524414063	25.8067871094	50.6174804687	26.2464355469
The Bahamas	-76.6284303802	24.2903670223	-78.9856445312	20.9374023438	-72.747265625	26.9400878906
Bosnia and Herzegovina	17.7687673323	44.1745012472	15.7366210938	42.5597167969	19.5837890625	45.2765625
Saint Barthelemy	-62.8406777884	17.8988045112	-62.8754394531	17.8751953125	-62.7997070312	17.922265625
Belarus	28.0320930703	53.5313137685	23.1750976563	51.2650390625	32.7102539062	56.1458007812
Belize	-88.7101048564	17.2002750902	-89.2375	15.888671875	-87.7886230469	18.4823242188
Bermuda	-64.7545588982	32.3136780208	-64.8628417969	32.2596191406	-64.6683105469	32.3869140625
Bolivia	-64.6732088545	-16.7100223213	-69.645703125	-22.8916992187	-57.4956542969	-9.71044921875
Brazil	-53.0978704919	-10.7785393085	-74.0020507812	-33.7421875	-34.80546875	5.25795898438
Barbados	-59.5597970021	13.1814542822	-59.6466796875	13.0622070313	-59.4276367188	13.3176757813
